"","voted2004","voted2008","Kerryvoter","Obamavoter","white","black","pres.approval","partyid","economy"
"134",0,1,0,1,1,0,-1,-1,-1
"135",0,1,0,1,1,0,0.5,1,-1
"136",1,0,1,0,0,0,-1,0,-1
"137",1,1,0,0,1,0,1,-1,1
"138",1,1,1,1,0,0,-1,1,-1
"139",1,1,0,0,1,0,-0.5,-1,-1
"140",0,0,0,0,1,0,-1,0,-1
"141",1,1,0,0,1,0,1,-1,0
"142",1,0,1,0,1,0,-1,1,-1
"143",0,0,0,0,1,0,-0.5,1,-1
"144",1,1,0,0,1,0,-1,0,-1
"145",1,1,0,0,1,0,-0.5,-1,-0.5
"146",1,1,1,1,1,0,-1,1,-1
"147",1,1,0,0,1,0,1,0,-1
"148",0,0,0,0,1,0,-1,0,-1
"149",0,0,0,0,1,0,-1,0,-1
"150",1,1,1,1,1,0,-1,1,-1
"151",1,1,1,1,1,0,-1,1,-1
"152",1,1,0,0,1,0,0.5,-1,-1
"153",1,1,0,0,1,0,1,-1,-0.5
"154",1,0,0,0,1,0,-1,0,-1
"155",0,0,0,0,1,0,-0.5,0,-1
"156",1,1,1,1,1,0,-1,1,-1
"157",1,1,0,1,1,0,-1,0,-1
"158",1,1,1,1,1,0,-1,1,-1
"159",0,0,0,0,1,0,1,1,-1
"160",1,1,0,1,1,0,-0.5,0,-1
"161",0,0,0,0,1,0,0,0,0.5
"162",1,1,0,1,0,0,-1,-1,-1
"163",0,0,0,0,0,1,-1,0,-1
"164",1,1,1,1,1,0,-0.5,1,-0.5
"165",1,1,0,0,0,0,-0.5,-1,-1
"166",1,1,0,1,1,0,0.5,0,-1
"167",0,0,0,0,1,0,-0.5,1,-1
"168",1,1,0,1,0,0,-0.5,1,-1
"169",0,0,0,0,0,0,0.5,0,-1
"170",0,1,0,1,0,0,-1,-1,-1
"171",0,0,0,0,0,0,-0.5,1,-0.5
"172",1,1,1,1,0,0,0.5,1,-1
"173",1,1,0,1,0,0,-1,1,-1
"174",1,1,0,0,1,0,0.5,-1,-0.5
"175",0,1,0,1,0,0,-1,1,-1
"176",1,1,1,1,1,0,-1,1,-1
"177",1,1,1,1,1,0,-1,1,-1
"178",1,1,1,1,1,0,-1,1,-1
"179",1,1,1,0,1,0,-1,0,-1
"180",1,1,0,0,1,0,0.5,-1,-1
"181",1,1,1,1,1,0,-1,1,-1
"182",1,1,0,0,1,0,0,-1,-1
"183",1,1,1,1,0,0,-1,0,-1
"184",0,0,0,0,0,0,-0.5,0,-1
"185",0,1,0,1,0,0,-1,0,-1
"186",0,0,0,0,1,0,0,0,-1
"187",0,0,0,0,1,0,-1,0,-0.5
"188",1,1,1,1,1,0,-1,1,-1
"189",1,1,0,0,1,0,0.5,-1,-1
"190",1,0,0,0,0,0,1,1,-1
"191",0,0,0,0,1,0,-0.5,0,-1
"192",1,1,0,0,1,0,0.5,-1,-0.5
"193",1,1,1,1,0,0,-1,1,-1
"194",1,1,0,1,1,0,0.5,0,-1
"195",0,0,0,0,1,0,0.5,-1,-1
"196",1,1,0,0,1,0,-0.5,-1,-0.5
"197",0,1,0,1,0,0,-1,0,-1
"198",1,1,0,0,1,0,-0.5,0,-1
"199",1,1,0,0,1,0,0.5,0,0
"200",1,1,0,1,1,0,-1,0,-1
"201",1,0,0,0,1,0,-1,0,-1
"202",1,1,0,0,0,0,0.5,-1,-1
"203",1,1,0,1,1,0,-1,0,-0.5
"204",1,1,0,0,1,0,-1,-1,-1
"205",0,1,0,0,1,0,0.5,-1,-1
"206",1,1,1,1,0,0,-0.5,1,-1
"207",1,1,1,0,1,0,0.5,-1,-1
"208",1,1,0,0,1,0,-1,0,-1
"209",1,1,0,0,1,0,0.5,-1,0
"210",1,1,0,0,1,0,1,-1,-1
"211",1,1,0,0,1,0,-0.5,-1,-1
"212",0,0,0,0,0,1,-1,1,-1
"213",0,1,0,1,0,0,-1,0,-1
"214",0,0,0,0,0,0,-1,1,-1
"215",1,1,0,1,0,0,-0.5,1,-1
"216",1,1,0,1,0,0,-1,1,-0.5
"217",0,0,0,0,0,0,-1,0,-0.5
"218",1,1,0,1,0,1,-1,1,-1
"219",0,1,0,1,0,1,-1,1,-1
"220",0,0,0,0,0,0,-1,-1,0.5
"221",1,1,0,1,0,1,-1,0,-1
"222",1,1,1,1,1,0,-1,1,-1
"223",1,1,0,0,0,0,1,-1,-1
"224",0,0,0,0,0,0,-1,0,-0.5
"225",1,1,1,1,0,0,-1,1,-1
"226",0,0,0,0,1,0,-1,0,-1
"227",0,0,0,0,1,0,-1,1,-1
"228",0,0,0,0,0,0,-1,1,-1
"229",1,1,0,1,0,0,-1,1,-1
"230",1,1,1,1,0,0,-1,1,-1
"231",0,0,0,0,0,0,-1,0,-1
"232",1,1,1,1,0,1,-1,1,-0.5
"233",0,0,0,0,1,0,-1,1,-1
"234",1,1,1,1,0,1,-1,1,-1
"235",0,0,0,0,0,1,-1,0,-1
"236",1,1,0,0,1,0,-0.5,0,-1
"237",1,1,0,0,1,0,-1,-1,-1
"238",0,1,0,1,1,0,-1,0,0.5
"239",1,1,0,0,1,0,0.5,-1,-1
"240",1,1,1,1,1,0,-1,1,-1
"241",0,1,0,1,1,0,-0.5,0,-1
"242",1,1,0,0,0,0,1,-1,-1
"243",1,1,0,0,1,0,0.5,-1,-1
"244",1,0,0,0,0,0,-1,1,-1
"245",0,0,0,0,1,0,0.5,-1,0
"246",1,1,0,0,1,0,0.5,0,0
"247",1,1,0,0,1,0,-0.5,-1,-1
"248",1,1,0,1,1,0,-1,0,-1
"249",1,1,0,0,1,0,-0.5,-1,0
"250",1,1,0,0,1,0,1,-1,-1
"251",1,0,1,0,1,0,-1,1,0
"252",0,0,0,0,0,0,-0.5,1,-1
"253",1,0,0,0,1,0,0.5,-1,-1
"254",1,1,1,1,0,0,-1,1,-1
"255",1,1,0,0,1,0,0.5,-1,-1
"256",1,1,0,0,1,0,1,0,-0.5
"257",1,1,1,1,1,0,-1,1,-1
"258",1,1,1,1,0,1,-1,1,-1
"259",1,1,1,1,0,0,-0.5,1,-0.5
"260",0,0,0,0,0,0,0.5,0,-0.5
"261",1,1,0,0,1,0,-1,0,-1
"263",1,1,0,1,0,0,-1,1,-1
"264",0,1,0,1,1,0,0,0,-1
"265",1,1,0,0,1,0,-0.5,-1,-1
"266",0,0,0,0,1,0,1,0,-1
"267",0,0,0,0,0,0,-1,0,-1
"268",0,0,0,0,1,0,-0.5,0,-1
"269",1,0,0,0,0,0,0.5,-1,-1
"270",0,1,0,1,0,1,-1,1,-1
"271",0,1,0,1,1,0,-1,0,-1
"272",1,1,1,1,1,0,-1,1,-1
"273",0,1,0,1,1,0,-1,0,-1
"274",1,1,1,1,1,0,-1,1,-1
"275",1,1,1,1,1,0,-1,1,-1
"276",1,1,1,1,0,1,-1,1,-1
"277",1,1,1,1,1,0,-1,0,1
"278",0,0,0,0,0,1,-1,0,-1
"279",1,1,1,1,1,0,-1,1,-1
"280",0,1,0,1,0,1,-0.5,0,0
"281",0,1,0,1,1,0,-1,1,-1
"282",1,1,1,1,1,0,-1,1,-1
"283",1,1,1,1,1,0,-1,0,0
"284",1,1,1,1,1,0,-1,1,-1
"285",0,0,0,0,1,0,-1,1,-1
"286",1,0,1,0,0,0,-1,1,-1
"287",1,1,1,1,1,0,-0.5,1,-1
"288",1,1,1,1,1,0,-1,1,-1
"289",1,1,1,1,1,0,-1,0,-0.5
"290",0,0,0,0,1,0,-1,1,-0.5
"291",0,0,0,0,0,0,-1,0,-1
"292",0,1,0,1,0,0,-1,1,-1
"293",1,1,1,1,1,0,-1,0,-1
"294",1,1,1,1,1,0,-1,1,-1
"295",1,0,1,0,1,0,-1,0,-1
"296",0,1,0,1,0,1,-1,1,-1
"297",0,0,0,0,0,1,-1,1,-0.5
"298",1,1,0,0,1,0,-1,0,-0.5
"299",0,1,0,1,0,1,-1,1,-1
"300",0,0,0,0,0,0,-1,0,-1
"301",0,1,0,0,0,0,-1,-1,-0.5
"302",0,1,0,0,0,0,-1,0,-1
"303",0,0,0,0,0,1,-1,0,-1
"304",0,1,0,1,0,0,-1,1,-0.5
"305",0,0,0,0,0,0,-1,1,-1
"306",1,1,1,1,0,1,-0.5,1,1
"307",0,0,0,0,1,0,-1,0,-1
"308",0,0,0,0,0,0,-1,0,0
"309",0,1,0,1,1,0,-1,0,-0.5
"310",0,1,0,0,1,0,0,-1,-0.5
"311",1,1,1,1,0,0,-1,1,-1
"312",1,0,0,0,0,0,0.5,-1,0
"313",0,0,0,0,0,1,-1,1,-1
"314",1,0,1,0,1,0,-1,0,-1
"315",1,1,0,0,1,0,1,-1,-0.5
"316",1,1,0,0,1,0,0.5,-1,-1
"317",1,1,0,0,1,0,0.5,0,-1
"318",0,1,0,0,1,0,-1,1,-1
"319",0,0,0,0,0,0,-0.5,0,-1
"320",0,0,0,0,1,0,-1,0,-1
"321",1,1,1,1,0,1,-1,1,-0.5
"322",0,0,0,0,1,0,-0.5,0,-0.5
"323",0,1,0,1,0,1,-0.5,0,0
"324",1,1,1,1,1,0,-1,0,-1
"325",1,1,1,1,1,0,-1,0,0
"326",0,1,0,1,0,1,-1,1,-1
"327",1,1,1,1,1,0,-1,0,-1
"328",1,1,1,1,0,0,-1,1,-1
"329",1,1,1,1,1,0,-1,0,-1
"330",1,1,1,1,1,0,-1,1,-1
"331",1,1,1,1,0,0,-1,1,-1
"332",0,0,0,0,1,0,-0.5,0,-1
"333",1,1,0,0,1,0,-1,0,-1
"334",0,1,0,0,1,0,-0.5,-1,-1
"335",1,1,0,0,1,0,0.5,0,-1
"336",1,1,0,0,1,0,0.5,-1,-1
"337",1,1,1,1,1,0,-1,1,-1
"338",1,1,0,0,1,0,1,-1,0
"339",1,1,1,1,1,0,-0.5,1,-1
"340",0,1,0,1,1,0,-1,0,-1
"341",1,1,0,0,1,0,0.5,-1,0
"342",1,1,0,0,1,0,0,-1,-1
"343",1,1,1,1,0,0,-1,1,-1
"344",1,1,1,0,1,0,-1,0,-1
"345",1,1,0,0,1,0,0.5,-1,-0.5
"346",1,1,0,0,1,0,1,-1,-1
"347",1,1,1,1,1,0,-1,1,-1
"348",1,1,0,0,1,0,0.5,-1,-0.5
"349",1,1,0,1,1,0,-1,0,-1
"350",0,1,0,1,1,0,-1,1,-1
"351",0,1,0,1,1,0,-1,1,-1
"352",1,1,1,1,1,0,-1,1,-0.5
"353",1,1,0,1,0,0,-1,1,-1
"354",1,1,0,1,1,0,-0.5,-1,-1
"355",1,1,0,1,1,0,-1,0,-1
"356",1,1,1,1,1,0,-1,1,-1
"357",1,1,0,1,1,0,-0.5,0,-0.5
"358",0,0,0,0,1,0,-0.5,0,-1
"359",0,1,0,0,1,0,0.5,0,-1
"360",1,1,1,1,1,0,-1,1,-1
"361",1,1,0,0,1,0,-1,0,-1
"362",1,1,0,0,1,0,0.5,0,-0.5
"363",1,1,1,1,0,0,-1,0,-1
"364",1,1,1,1,1,0,-1,1,-1
"365",1,1,0,0,1,0,0.5,-1,-1
"366",1,1,0,0,1,0,-0.5,-1,-1
"367",1,1,1,1,1,0,-1,0,-1
"368",1,1,0,0,1,0,0.5,0,-0.5
"369",0,1,0,1,1,0,-1,1,-1
"370",0,1,0,0,1,0,1,0,0.5
"371",1,1,0,0,1,0,-0.5,0,-1
"372",0,0,0,0,1,0,-0.5,0,-1
"373",0,0,0,0,1,0,-1,1,-0.5
"374",0,1,0,1,0,0,-0.5,0,-1
"375",1,1,0,0,1,0,1,0,0
"376",0,0,0,0,1,0,-1,-1,-0.5
"377",1,1,1,1,1,0,-1,1,-1
"378",1,1,1,1,1,0,-1,1,-1
"379",0,1,0,1,0,0,-0.5,1,-1
"380",0,0,0,0,1,0,-1,0,-0.5
"381",1,1,0,0,1,0,1,0,-0.5
"382",1,0,0,0,1,0,0.5,-1,-1
"383",1,1,1,1,1,0,-1,1,-1
"384",0,0,0,0,1,0,-1,0,-1
"385",0,0,0,0,0,1,-1,0,-1
"386",0,0,0,0,0,0,-1,0,-0.5
"387",0,0,0,0,0,0,1,0,-1
"388",1,1,1,1,0,0,-1,1,-1
"389",1,1,0,0,0,0,0.5,0,-1
"390",0,1,0,1,0,0,-0.5,1,0
"391",0,1,0,1,0,0,-1,1,-1
"392",1,1,1,1,0,0,-1,1,-1
"393",0,1,0,1,0,0,-1,1,-1
"394",1,1,1,1,0,0,-1,0,-1
"395",1,1,1,1,1,0,-1,1,-1
"396",1,1,0,1,0,0,-1,0,-1
"397",0,0,0,0,0,0,1,1,-1
"398",1,1,0,0,1,0,1,-1,-1
"399",1,1,1,1,1,0,-1,1,-0.5
"400",1,1,1,1,1,0,-1,1,-1
"401",1,0,0,0,1,0,-1,0,-0.5
"402",1,1,0,1,0,0,0.5,1,-1
"403",0,0,0,0,1,0,0.5,0,-0.5
"404",0,0,0,0,1,0,0,0,-0.5
"405",1,1,1,1,1,0,-1,1,-1
"406",1,1,0,0,1,0,-1,0,-1
"407",0,0,0,0,1,0,-1,0,-1
"408",1,1,0,0,1,0,1,0,-0.5
"409",0,1,0,1,1,0,-1,0,-1
"410",0,1,0,1,1,0,-1,0,-1
"411",1,1,0,0,1,0,-1,0,-1
"412",1,0,0,0,1,0,-1,0,-1
"413",1,1,1,1,1,0,-1,1,-1
"414",1,1,1,1,0,0,-1,1,-1
"415",1,0,1,0,1,0,-1,0,-0.5
"416",0,1,0,1,0,0,-0.5,0,-1
"417",0,0,0,0,0,0,-1,0,-1
"418",0,1,0,1,0,0,-1,0,-1
"419",0,0,0,0,1,0,0.5,0,-0.5
"420",1,1,0,0,1,0,1,-1,-0.5
"421",1,1,0,0,1,0,0.5,0,-0.5
"422",0,1,0,0,1,0,0.5,0,0
"423",0,1,0,0,1,0,0.5,-1,0
"424",1,1,0,0,1,0,0.5,-1,-0.5
"425",1,1,0,0,1,0,1,0,-1
"426",0,0,0,0,1,0,-1,0,-1
"427",1,1,0,0,1,0,-1,-1,-1
"428",1,1,0,1,1,0,-0.5,0,0
"429",1,1,0,0,1,0,0.5,-1,-0.5
"430",1,1,1,1,1,0,-0.5,1,-0.5
"431",1,1,0,0,1,0,1,-1,-0.5
"432",0,1,0,1,1,0,-1,1,-1
"433",0,0,0,0,1,0,-1,0,-1
"434",0,1,0,0,1,0,1,-1,-1
"435",1,1,1,1,1,0,-1,1,-1
"436",0,1,0,0,1,0,0.5,-1,-1
"437",1,1,0,1,1,0,-1,1,-1
"438",1,1,1,0,1,0,-0.5,0,-0.5
"439",1,1,1,1,0,0,-1,1,-1
"440",1,1,0,1,1,0,0.5,0,-0.5
"441",0,0,0,0,1,0,1,0,-0.5
"442",0,1,0,1,0,0,1,0,0
"443",1,1,1,1,1,0,-1,1,-0.5
"444",0,0,0,0,0,0,-1,0,0
"445",1,0,1,0,1,0,-1,1,-1
"446",1,1,1,0,1,0,-1,-1,-1
"447",1,1,1,1,1,0,-1,1,-1
"448",1,1,0,1,1,0,-1,0,-1
"449",0,1,0,1,1,0,-1,1,-1
"450",0,1,0,1,1,0,-1,1,-1
"451",0,1,0,0,0,0,-1,1,-1
"452",1,0,1,0,0,1,-1,1,-1
"453",0,1,0,0,1,0,0.5,0,-1
"454",1,1,1,1,1,0,-1,0,-1
"455",1,1,1,1,1,0,-1,1,-1
"456",1,0,0,0,1,0,1,0,-1
"457",0,0,0,0,1,0,-1,-1,-1
"458",1,1,1,1,0,0,-0.5,1,-0.5
"459",0,0,0,0,0,0,0.5,0,0
"460",1,1,0,1,1,0,-1,1,0
"461",1,1,0,1,1,0,-1,1,-0.5
"462",1,1,0,1,0,1,-1,0,-1
"463",0,1,0,1,0,1,-1,0,-0.5
"464",1,1,1,1,0,1,-0.5,0,-0.5
"465",0,0,0,0,0,1,-1,0,-1
"466",0,1,0,1,0,0,-1,0,-1
"467",1,1,1,1,0,1,-1,1,-1
"468",1,0,1,0,0,1,-1,1,-0.5
"469",0,0,0,0,0,1,0,1,-1
"470",0,1,0,1,0,0,-1,1,-1
"471",0,1,0,1,0,0,-1,1,-1
"472",1,1,1,1,1,0,-1,1,-1
"473",1,0,1,0,0,1,-1,1,-1
"474",1,0,1,0,0,1,-0.5,1,-0.5
"475",1,1,1,1,0,1,-1,0,-1
"476",0,1,0,1,0,1,-1,1,-1
"477",1,1,1,1,0,0,-1,0,-1
"478",0,0,0,0,0,1,-1,0,-1
"479",0,0,0,0,0,0,-1,0,-1
"480",0,1,0,1,0,1,-1,0,-1
"481",1,1,0,1,0,1,-1,1,-1
"482",0,0,0,0,0,1,-1,1,-1
"483",1,1,1,1,0,0,-0.5,1,0
"484",0,0,0,0,0,1,-1,0,-0.5
"485",0,1,0,0,0,1,-1,0,0
"486",1,0,1,0,0,1,-1,1,-0.5
"487",0,1,0,1,0,0,-1,1,-1
"488",1,1,1,1,0,1,-1,1,-1
"489",0,1,0,1,0,1,-1,1,0.5
"490",1,1,1,1,0,0,-1,0,-1
"491",0,0,0,0,0,1,-1,0,-1
"492",0,1,0,1,0,1,-1,1,-1
"493",1,1,1,1,0,1,-1,1,-0.5
"494",1,1,0,1,0,1,-1,1,-1
"495",1,1,1,1,0,1,-1,0,-1
"496",1,1,1,0,0,0,-1,1,0
"497",1,0,1,0,0,1,-0.5,1,-1
"498",0,0,0,0,0,1,1,1,0
"499",0,0,0,0,0,1,-1,0,-1
"500",0,0,0,0,0,1,-1,0,-1
"501",0,0,0,0,0,1,-1,1,-1
"502",0,0,0,0,0,1,-1,0,0
"503",0,0,0,0,0,1,0.5,1,-0.5
"504",1,1,1,1,0,1,-1,1,-1
"505",1,1,1,1,0,1,-1,1,-1
"506",1,1,1,1,1,0,-1,1,-0.5
"507",1,0,1,0,0,1,-1,1,-1
"508",0,1,0,1,0,1,-1,1,-1
"509",1,1,1,0,0,1,-1,-1,-0.5
"510",1,1,1,1,0,1,-1,0,-1
"511",1,1,1,1,0,1,-1,1,-1
"512",1,1,0,1,0,1,-0.5,0,0
"513",0,0,0,0,0,1,1,1,-0.5
"514",0,1,0,1,0,1,-1,1,-1
"515",1,1,1,1,0,0,-1,1,-1
"516",1,1,1,1,1,0,-1,-1,-1
"517",1,1,1,1,1,0,-1,1,-1
"518",1,1,0,0,1,0,1,0,-1
"519",1,1,0,0,1,0,-0.5,0,-0.5
"520",1,1,1,1,1,0,-1,0,-1
"521",1,1,0,1,1,0,-1,0,-1
"522",1,1,1,1,0,1,-1,1,-1
"523",0,0,0,0,0,0,-1,1,-1
"524",1,1,0,1,1,0,-0.5,0,-1
"525",0,1,0,1,1,0,0.5,1,-1
"526",1,1,1,1,0,0,-1,0,-0.5
"527",1,0,0,0,1,0,0.5,-1,-1
"528",1,1,1,1,0,1,-1,1,-1
"529",0,1,0,1,0,1,-1,1,-0.5
"530",1,1,1,1,0,1,-1,0,-1
"531",1,1,0,0,1,0,-1,-1,-1
"532",0,0,0,0,1,0,-1,0,-1
"533",1,1,0,0,1,0,0,0,-1
"534",0,1,0,1,1,0,-0.5,0,-1
"535",1,1,1,1,1,0,-1,1,-1
"536",1,0,0,0,1,0,-1,1,-0.5
"537",0,1,0,0,0,1,-1,0,0.5
"538",1,1,0,0,1,0,1,-1,-0.5
"539",1,0,0,0,1,0,-0.5,-1,-1
"540",1,1,0,0,1,0,0.5,-1,-1
"541",1,1,0,0,1,0,0.5,-1,-1
"542",1,0,0,0,1,0,0.5,-1,-1
"543",1,1,0,0,1,0,0.5,1,-0.5
"544",0,0,0,0,1,0,1,0,-1
"545",1,1,1,1,0,0,-1,0,-1
"546",0,0,0,0,1,0,0.5,0,-1
"547",1,1,0,0,1,0,1,-1,0
"548",0,0,0,0,1,0,0.5,0,-1
"549",0,0,0,0,1,0,-1,0,-1
"550",1,1,0,0,1,0,1,-1,-0.5
"551",1,1,0,0,1,0,0,0,-1
"552",1,1,0,0,1,0,0.5,1,-1
"553",1,1,0,1,1,0,-1,1,-1
"554",1,1,0,0,1,0,-0.5,-1,-1
"555",0,0,0,0,1,0,1,-1,0
"556",0,0,0,0,1,0,-1,0,-0.5
"557",1,1,1,1,0,1,-1,1,-1
"558",0,1,0,1,1,0,0.5,0,0
"559",0,1,0,0,1,0,-0.5,-1,-1
